iso3,year,gghe
NER,2008,1.55048525
BDI,2001,1.69244206
CMR,2006,0.64810383
MRT,2021,1.49700129
SLE,2016,0.66393304
TCD,2006,0.76379508
CMR,2015,0.36383638
CIV,2004,0.5599317
SEN,2011,1.30861914
EGY,2005,1.5893116
BDI,2019,2.27763605
COM,2010,0.37668347
TCD,2019,0.51349735
GNQ,2023,1.12861156
GAB,2022,1.88504732
TCD,2001,1.42270386
TCD,2012,0.65627456
MUS,2019,2.50442028
CPV,2005,2.30860901
GMB,2010,0.91823167
LBR,2017,1.38745701
CIV,2017,0.93267012
AGO,2002,1.15548134
ZAF,2023,5.48956871
LBR,2002,0.56401348
CMR,2003,0.8576715
BEN,2004,1.15381396
TCD,2017,0.52580875
ERI,2021,0.88709611
GNB,2003,0.42981493
MDG,2020,0.68988532
ERI,2008,1.64659166
SYC,2017,3.2699151
GHA,2003,0.94345516
BFA,2013,1.61236513
MLI,2002,1.10984015
COG,2017,0.90735477
LSO,2004,2.99280524
MAR,2012,1.85334969
MAR,2021,2.2556777
NER,2015,1.11163116
MUS,2014,2.42503381
ZAF,2018,4.61023474
CPV,2004,2.5304296
ZAF,2001,2.40290713
SOM,2013,0.13704211
NGA,2016,0.47496933
SEN,2008,1.3871423
LBY,2002,3.17035413
MAR,2017,1.98112547
LBY,2005,1.62736928
SYC,2000,3.78593802
SYC,2002,3.63683939
CAF,2017,0.72881997
COM,2017,0.67584765
SEN,2016,1.06801915
MLI,2011,0.6047653
MLI,2006,1.22405839
GIN,2017,0.60066199
MUS,2006,1.61826241
SWZ,2005,3.64060426
RWA,2013,2.17188406
CPV,2014,2.77216268
LBR,2014,0.82358247
LBY,2014,3.42913532
SDN,2009,2.6293633
CPV,2007,2.73044729
TUN,2016,3.40580177
CIV,2013,0.7278282
MDG,2007,1.90437353
RWA,2023,2.41123104
LBR,2012,1.55076897
UGA,2018,0.67459893
STP,2012,2.30571485
TCD,2005,1.10235167
SEN,2004,1.62704813
COD,2008,0.25156215
SEN,2000,1.25274444
TZA,2007,1.94105673
SEN,2017,1.01061249
ZMB,2012,1.54221773
KEN,2007,1.27245092
ZWE,2018,1.59526527
