iso3,year,obesity
SLE,1994,0.81448285
NGA,2014,12.211897
TCD,2018,6.239501
BDI,2012,2.5572926
EGY,2019,42.374185
CIV,1992,1.4430801
STP,2014,12.53103
DJI,2019,14.437491
GIN,1997,1.4134515
MDG,1990,0.58907275
ZWE,2020,4.8101187
LBR,1994,3.0238179
RWA,2004,2.1024274
ZAF,1994,7.3706038
CMR,2005,5.8685921
GAB,2001,5.3759202
GMB,2008,10.623953
SLE,2006,5.076912
GNB,1998,2.1747218
BDI,2009,2.5808092
LBR,1993,3.8765028
GAB,1994,3.662423
LBY,1991,11.197565
BWA,1993,7.0977226
COD,2001,2.4879511
SYC,2020,19.155757
TCD,2003,2.794401
ETH,2002,0.36631238
COD,1992,1.4109246
NER,2010,4.9016725
AGO,1996,6.2149595
GMB,2003,7.5475946
MWI,1992,1.7899685
SSD,2022,11.757118
SEN,2002,1.377283
BDI,1995,1.1605208
MWI,2013,1.9430742
GAB,2012,15.545852
MUS,2001,18.010357
ETH,1995,0.24391129
MLI,2001,3.908154
MDG,1998,0.95346393
LSO,2002,2.9841822
TUN,2004,18.340953
MUS,2018,23.763524
MWI,1997,1.7173706
ZWE,2014,3.3813469
MAR,2008,14.793803
NER,2003,2.4868287
MUS,2018,11.883292
KEN,1990,1.2118503
MRT,1992,5.3820658
SEN,1999,1.0577433
TUN,1995,13.941973
KEN,1998,3.6933582
SYC,1994,6.5404467
COG,2018,7.9849474
SSD,2004,1.9974513
CAF,2018,10.333341
NAM,2010,19.012083
CAF,1997,3.264777
TUN,1996,14.385091
EGY,2013,26.719081
COM,2003,10.444786
STP,2004,12.162592
CAF,2003,4.967358
BEN,2018,13.299309
SWZ,2013,9.5662192
TZA,1997,3.0304421
GIN,1999,1.6761664
ZMB,2006,5.12041
CAF,1998,2.6179396
COG,2003,2.4131533
CIV,2013,8.4225215
EGY,2016,28.420201
SYC,1992,5.6425653
CPV,2010,6.0837958
NAM,2022,10.199158
MRT,2016,7.1347021
NAM,2016,8.3888561
MLI,2005,4.7305148
AGO,1995,1.9759985
BDI,2021,4.7356773
BEN,2000,6.4661689
NGA,2005,6.5062784
GMB,2014,6.1531007
GNQ,2017,26.33692
BDI,2022,5.0219052
ZAF,2018,43.527478
LBY,2010,40.18566
SSD,2007,4.1987795
UGA,1993,2.0251105
MRT,2003,4.0420718
GNQ,2020,16.725744
CPV,2021,22.102645
EGY,2004,21.321881
RWA,1997,0.3461336
CAF,2014,6.4257219
SLE,2008,2.3440689
BDI,2017,3.7859172
GNB,2011,5.0072908
BEN,2004,8.3831683
EGY,1996,16.032279
MUS,1990,4.1563686
ETH,2017,2.0257449
SWZ,1998,4.4360779
MDG,1999,1.0172794
TCD,2017,4.804742
GHA,1992,1.1862794
GHA,1992,5.4351922
ZAF,2013,28.839436
DJI,1996,1.3940804
DZA,2009,17.359763
LSO,2014,16.751482
LSO,1997,16.399255
GAB,1992,3.2669265
NER,2015,5.8155999
GNQ,1991,1.8356144
ERI,2016,4.6987817
CAF,2015,4.2316314
BEN,2003,2.8939657
EGY,2018,53.950924
MRT,2015,17.872998
MLI,1998,2.9797107
LSO,1995,1.9768698
CAF,2001,4.3420427
CIV,2002,3.2281954
COM,2020,14.981674
GNB,1998,3.5244223
BDI,2013,3.6056396
DZA,2004,22.508316
GIN,1994,1.6548621
ETH,1997,0.77326545
COD,2005,3.159561
ZMB,2007,2.1604981
RWA,1998,1.3606593
MWI,2022,3.0653371
UGA,2012,6.5080255
SLE,1993,0.7402604
ZAF,2016,14.167911
GNB,2005,3.7251834
SOM,2009,2.8488906
SYC,2020,38.567391
GAB,2011,22.515409
MWI,2012,4.4976622
GIN,2016,4.4597462
COD,1998,2.0534135
MUS,1997,11.380409
AGO,2022,6.2656417
MRT,2009,5.6985293
MRT,2017,29.768601
UGA,2011,6.1596144
GAB,2010,7.7625118
DZA,1995,17.750852
GNB,2006,7.8842692
SSD,1998,2.5467396
MAR,2022,13.317187
TZA,2020,16.664438
ZAF,2014,41.354588
COM,1998,7.6632544
GHA,2011,10.021187
LBY,1996,21.552396
ZWE,2001,11.586549
COM,2009,9.3782581
BDI,1997,1.5014264
GIN,1991,1.6967505
ZMB,1993,0.93550822
NAM,2005,17.038377
CPV,1996,2.6575673
SDN,2003,11.781786
BWA,1999,14.807609
SOM,1995,1.2646743
MLI,2019,8.6611167
MDG,2003,1.3910935
ZMB,2016,12.437091
RWA,2020,6.7682341
LBR,2008,5.4416321
MWI,2014,7.6759987
COM,1996,6.7875482
AGO,2001,8.1125297
DJI,2004,7.2432354
TGO,1990,1.460087
MDG,2022,4.2625114
AGO,2009,7.8113981
ZWE,2015,3.5642002
