iso3,year,tb_inc
SWZ,2003,1270.0
MAR,2011,98.0
CPV,2000,176.0
MUS,2007,17.0
DZA,2019,65.0
SEN,2000,173.0
MOZ,2017,361.0
ZAF,2014,1070.0
ZMB,2022,295.0
TGO,2002,69.0
EGY,2004,19.0
STP,2021,59.0
BEN,2000,71.0
ERI,2003,756.0
SOM,2002,351.0
GNQ,2022,207.0
SYC,2008,6.5
EGY,2009,16.0
NGA,2024,219.0
LSO,2007,1230.0
CAF,2009,568.0
SDN,2010,119.0
ERI,2008,312.0
SWZ,2020,336.0
BEN,2016,59.0
COG,2009,438.0
SEN,2012,177.0
GAB,2011,475.0
COD,2022,392.0
ZWE,2018,210.0
NER,2022,81.0
NER,2013,111.0
GHA,2001,214.0
GIN,2008,187.0
MUS,2019,14.0
NGA,2021,219.0
SYC,2018,13.0
DZA,2007,104.0
SEN,2009,182.0
MLI,2007,78.0
GNB,2001,225.0
ZMB,2014,406.0
SEN,2017,152.0
COM,2000,51.0
MOZ,2013,361.0
TZA,2006,504.0
NER,2021,80.0
LBR,2003,216.0
TGO,2008,91.0
SOM,2020,171.0
ETH,2017,179.0
AGO,2003,434.0
TGO,2011,81.0
CIV,2012,193.0
SWZ,2023,326.0
SLE,2021,395.0
GIN,2016,177.0
SDN,2022,54.0
ZWE,2000,605.0
COM,2022,29.0
CPV,2010,117.0
SLE,2019,412.0
CAF,2023,428.0
CIV,2001,180.0
SYC,2003,11.0
CPV,2005,126.0
GNB,2024,176.0
LSO,2023,584.0
LBR,2019,249.0
NER,2001,94.0
TUN,2006,38.0
LSO,2012,1040.0
KEN,2008,564.0
BFA,2014,70.0
SSD,2016,376.0
ZWE,2024,203.0
SSD,2024,320.0
CMR,2015,214.0
TGO,2018,51.0
GMB,2002,190.0
BEN,2023,42.0
COM,2019,37.0
MLI,2022,53.0
GNB,2017,198.0
BWA,2000,976.0
ERI,2018,132.0
RWA,2021,63.0
BDI,2003,200.0
GMB,2003,191.0
STP,2000,254.0
TZA,2015,306.0
SWZ,2021,334.0
GHA,2010,183.0
MRT,2018,94.0
COD,2008,521.0
DZA,2018,74.0
CMR,2007,279.0
SOM,2005,323.0
LSO,2022,611.0
ETH,2014,211.0
NGA,2007,219.0
GNQ,2003,304.0
ZMB,2017,361.0
NGA,2004,219.0
CMR,2014,226.0
SLE,2004,557.0
LSO,2006,1230.0
GIN,2011,187.0
MRT,2008,165.0
GAB,2024,371.0
BFA,2011,74.0
GAB,2022,390.0
UGA,2018,200.0
NAM,2012,754.0
COG,2005,484.0
NGA,2003,219.0
SOM,2018,179.0
MWI,2000,386.0
SYC,2004,20.0
EGY,2021,11.0
LBY,2010,49.0
BFA,2007,80.0
KEN,2022,238.0
BWA,2024,143.0
SLE,2009,504.0
ETH,2010,269.0
GNQ,2005,292.0
ERI,2002,498.0
COG,2016,334.0
ERI,2015,156.0
GNQ,2007,280.0
BDI,2004,194.0
GNQ,2018,225.0
ZAF,2023,427.0
COD,2013,471.0
ERI,2017,147.0
AGO,2015,445.0
CAF,2020,455.0
ZAF,2011,1200.0
MDG,2021,216.0
RWA,2010,82.0
GNB,2018,194.0
NAM,2018,524.0
LBR,2012,324.0
AGO,2004,468.0
MOZ,2008,351.0
CAF,2011,545.0
LBR,2004,244.0
COM,2020,35.0
TZA,2000,503.0
SWZ,2011,1300.0
STP,2022,87.0
DJI,2013,889.0
COD,2009,510.0
SOM,2014,188.0
SLE,2003,569.0
SWZ,2013,1030.0
CPV,2021,49.0
UGA,2024,197.0
UGA,2016,201.0
SOM,2006,308.0
COG,2000,569.0
ZAF,2009,1260.0
GIN,2019,178.0
BFA,2022,59.0
COM,2003,45.0
SDN,2021,58.0
DJI,2017,454.0
LBR,2014,302.0
SEN,2018,147.0
GHA,2013,168.0
MAR,2024,98.0
BWA,2018,339.0
DZA,2013,77.0
NAM,2021,441.0
NER,2007,129.0
SYC,2014,12.0
SEN,2001,177.0
GAB,2012,483.0
GHA,2009,187.0
MAR,2018,97.0
TCD,2003,126.0
BDI,2022,89.0
ZAF,2024,389.0
GNQ,2015,239.0
ZWE,2011,384.0
CPV,2011,121.0
LBY,2014,33.0
LBR,2018,257.0
SSD,2012,407.0
ERI,2005,483.0
DJI,2021,392.0
CAF,2010,556.0
NAM,2017,565.0
LBY,2019,40.0
MDG,2024,224.0
MUS,2004,24.0
NER,2019,82.0
CIV,2006,217.0
ZMB,2012,456.0
GNQ,2001,316.0
LBY,2024,63.0
NER,2008,130.0
MOZ,2014,361.0
STP,2023,73.0
ETH,2019,163.0
TZA,2017,269.0
DJI,2015,691.0
MWI,2024,113.0
ZMB,2007,554.0
MOZ,2020,361.0
MOZ,2021,361.0
COG,2003,515.0
LBY,2007,60.0
SLE,2010,494.0
SDN,2013,100.0
MLI,2004,79.0
MLI,2023,52.0
